attack_prevalence,split,metric,mean,std,ci95,repeats
0.05,test_main,precision,0.9970233634,0.0001310940985,8.125296409e-05,10
0.05,test_jbb,fpr,0.5653061224,0.02813071174,0.01743559577,10
0.05,test_jbb,tpr,0.9797979798,0,0,10
0.05,test_jbb,asr,0.0202020202,0,0,10
0.05,test_jbb,precision,0.6366777855,0.01196940205,0.007418712251,10
0.05,test_main_adv2,fpr,0.6206545917,0.02188379801,0.01356371853,10
0.05,test_main_adv2,tpr,0.9959885298,0.0008482808955,0.0005257699462,10
0.05,test_main_adv2,asr,0.004011470249,0.0008482808955,0.0005257699462,10
0.05,test_main_adv2,precision,0.9424009896,0.001874070309,0.001161560812,10
0.05,test_jbb_adv2,fpr,0.8204081633,0.04593725991,0.02847220867,10
0.05,test_jbb_adv2,tpr,0.8676767677,0.02952614312,0.01830049311,10
0.05,test_jbb_adv2,asr,0.1323232323,0.02952614312,0.01830049311,10
0.05,test_jbb_adv2,precision,0.5167829544,0.01003367915,0.006218938766,10
0.05,test_main_rewrite,fpr,0.04871306006,0.004418441465,0.002738578393,10
0.05,test_main_rewrite,tpr,0.9888632609,0.001517044753,0.0009402740794,10
0.05,test_main_rewrite,asr,0.01113673908,0.001517044753,0.0009402740794,10
0.05,test_main_rewrite,precision,0.9951919342,0.0004275170379,0.0002649778054,10
0.05,test_jbb_rewrite,fpr,0.556122449,0.0251102433,0.01556349004,10
0.05,test_jbb_rewrite,tpr,0.9828282828,0.006817662199,0.00422563081,10
0.05,test_jbb_rewrite,asr,0.01717171717,0.006817662199,0.00422563081,10
0.05,test_jbb_rewrite,precision,0.6411419458,0.00948086449,0.005876300691,10
