split,n,positives,negatives,prevalence,ece,brier,mean_score
val,6106,3024,3082,0.4952505732,0.006526270574,0.01334901188,0.4916896249
test_main,35230,32083,3147,0.9106727221,0.008687098947,0.01067532929,0.9027060042
test_jbb,197,99,98,0.5025380711,0.3226741629,0.3042008314,0.822970561
test_main_adv2,35230,32083,3147,0.9106727221,0.05357491205,0.05873025081,0.9634134415
test_jbb_adv2,197,99,98,0.5025380711,0.4315589169,0.4350465878,0.8904704955
