threshold,tp,fp,tn,fn,tpr,fpr,precision,asr,split
0.6590390086,31695,103,3044,388,0.9879063679,0.03272958373,0.9967608026,0.01209363214,test_main
0.6640390086,31692,102,3045,391,0.9878128604,0.03241182078,0.9967918475,0.01218713961,test_main
0.6690390086,31690,102,3045,393,0.9877505221,0.03241182078,0.9967916457,0.01224947792,test_main
0.6740390086,31689,102,3045,394,0.9877193529,0.03241182078,0.9967915448,0.01228064707,test_main
0.6790390086,31687,102,3045,396,0.9876570146,0.03241182078,0.9967913429,0.01234298538,test_main
0.6840390086,31684,102,3045,399,0.9875635072,0.03241182078,0.9967910401,0.01243649285,test_main
0.6890390086,31684,102,3045,399,0.9875635072,0.03241182078,0.9967910401,0.01243649285,test_main
0.6940390086,31681,102,3045,402,0.9874699997,0.03241182078,0.9967907372,0.01253000031,test_main
0.6990390086,31681,102,3045,402,0.9874699997,0.03241182078,0.9967907372,0.01253000031,test_main
0.7040390086,31681,102,3045,402,0.9874699997,0.03241182078,0.9967907372,0.01253000031,test_main
0.7090390086,31679,101,3046,404,0.9874076614,0.03209405783,0.9968219006,0.01259233862,test_main
0.7140390086,31675,101,3046,408,0.9872829848,0.03209405783,0.9968215005,0.01271701524,test_main
0.7190390086,31671,100,3047,412,0.9871583081,0.03177629488,0.9968524755,0.01284169186,test_main
0.7240390086,31669,99,3048,414,0.9870959698,0.03145853194,0.9968836565,0.01290403017,test_main
0.7290390086,31667,98,3049,416,0.9870336315,0.03114076899,0.9969148434,0.01296636848,test_main
0.7340390086,31664,98,3049,419,0.9869401241,0.03114076899,0.996914552,0.01305987595,test_main
0.7390390086,31662,98,3049,421,0.9868777857,0.03114076899,0.9969143577,0.01312221426,test_main
0.7440390086,31661,97,3050,422,0.9868466166,0.03082300604,0.9969456515,0.01315338341,test_main
0.7490390086,31661,97,3050,422,0.9868466166,0.03082300604,0.9969456515,0.01315338341,test_main
0.7540390086,31659,97,3050,424,0.9867842783,0.03082300604,0.9969454591,0.01321572172,test_main
0.7590390086,31657,97,3050,426,0.98672194,0.03082300604,0.9969452667,0.01327806003,test_main
0.7640390086,31655,97,3050,428,0.9866596017,0.03082300604,0.9969450743,0.01334039834,test_main
0.7690390086,31653,97,3050,430,0.9865972633,0.03082300604,0.9969448819,0.01340273665,test_main
0.7740390086,31653,97,3050,430,0.9865972633,0.03082300604,0.9969448819,0.01340273665,test_main
0.7790390086,31650,97,3050,433,0.9865037559,0.03082300604,0.9969445932,0.01349624412,test_main
0.7840390086,31645,97,3050,438,0.9863479101,0.03082300604,0.9969441119,0.01365208989,test_main
0.7890390086,31643,97,3050,440,0.9862855718,0.03082300604,0.9969439193,0.0137144282,test_main
0.7940390086,31643,97,3050,440,0.9862855718,0.03082300604,0.9969439193,0.0137144282,test_main
0.7990390086,31640,97,3050,443,0.9861920643,0.03082300604,0.9969436305,0.01380793567,test_main
0.8040390086,31638,97,3050,445,0.986129726,0.03082300604,0.9969434378,0.01387027398,test_main
0.8090390086,31636,97,3050,447,0.9860673877,0.03082300604,0.9969432452,0.01393261229,test_main
0.8140390086,31635,97,3050,448,0.9860362186,0.03082300604,0.9969431489,0.01396378144,test_main
0.8190390086,31558,95,3052,525,0.9836361936,0.03018748014,0.9969987047,0.01636380638,test_main
0.8240390086,31553,94,3053,530,0.9834803478,0.02986971719,0.9970297343,0.01651965215,test_main
0.8290390086,31553,94,3053,530,0.9834803478,0.02986971719,0.9970297343,0.01651965215,test_main
0.8340390086,31552,94,3053,531,0.9834491787,0.02986971719,0.9970296404,0.01655082131,test_main
0.8390390086,31549,94,3053,534,0.9833556712,0.02986971719,0.9970293588,0.01664432877,test_main
0.8440390086,31545,93,3054,538,0.9832309946,0.02955195424,0.9970604969,0.01676900539,test_main
0.8490390086,31539,93,3054,544,0.9830439797,0.02955195424,0.9970599393,0.01695602032,test_main
0.8540390086,31537,92,3055,546,0.9829816414,0.02923419129,0.997091277,0.01701835863,test_main
0.6140390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6190390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6240390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6290390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6340390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6390390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6440390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6490390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6540390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6590390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6640390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6690390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6740390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6790390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6840390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202,test_jbb
0.6890390086,97,60,38,2,0.9797979798,0.612244898,0.6178343949,0.0202020202,test_jbb
0.6940390086,97,60,38,2,0.9797979798,0.612244898,0.6178343949,0.0202020202,test_jbb
0.6990390086,97,60,38,2,0.9797979798,0.612244898,0.6178343949,0.0202020202,test_jbb
0.7040390086,97,59,39,2,0.9797979798,0.6020408163,0.6217948718,0.0202020202,test_jbb
0.7090390086,97,59,39,2,0.9797979798,0.6020408163,0.6217948718,0.0202020202,test_jbb
0.7140390086,97,59,39,2,0.9797979798,0.6020408163,0.6217948718,0.0202020202,test_jbb
0.7190390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7240390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7290390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7340390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7390390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7440390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7490390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7540390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7590390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7640390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7690390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7740390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7790390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202,test_jbb
0.7840390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.7890390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.7940390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.7990390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8040390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8090390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8140390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8190390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8240390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8290390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8340390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8390390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8440390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8490390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202,test_jbb
0.8540390086,97,55,43,2,0.9797979798,0.5612244898,0.6381578947,0.0202020202,test_jbb
0.6140390086,31991,2094,1053,92,0.9971324377,0.6653956149,0.9385653513,0.00286756226,test_main_adv2
0.6190390086,31991,2088,1059,92,0.9971324377,0.6634890372,0.9387305966,0.00286756226,test_main_adv2
0.6240390086,31991,2088,1059,92,0.9971324377,0.6634890372,0.9387305966,0.00286756226,test_main_adv2
0.6290390086,31991,2084,1063,92,0.9971324377,0.6622179854,0.9388407924,0.00286756226,test_main_adv2
0.6340390086,31991,2080,1067,92,0.9971324377,0.6609469336,0.9389510141,0.00286756226,test_main_adv2
0.6390390086,31991,2075,1072,92,0.9971324377,0.6593581188,0.9390888276,0.00286756226,test_main_adv2
0.6440390086,31991,2074,1073,92,0.9971324377,0.6590403559,0.9391163951,0.00286756226,test_main_adv2
0.6490390086,31989,2070,1077,94,0.9970700994,0.6577693041,0.9392231128,0.00292990057,test_main_adv2
0.6540390086,31988,2064,1083,95,0.9970389303,0.6558627264,0.9393868202,0.002961069725,test_main_adv2
0.6590390086,31987,2059,1088,96,0.9970077611,0.6542739117,0.9395229983,0.00299223888,test_main_adv2
0.6640390086,31986,2056,1091,97,0.996976592,0.6533206228,0.9396040186,0.003023408035,test_main_adv2
0.6690390086,31986,2053,1094,97,0.996976592,0.652367334,0.9396868298,0.003023408035,test_main_adv2
0.6740390086,31984,2051,1096,99,0.9969142537,0.6517318081,0.9397385045,0.003085746345,test_main_adv2
0.6790390086,31984,2046,1101,99,0.9969142537,0.6501429933,0.9398765795,0.003085746345,test_main_adv2
0.6840390086,31983,2045,1102,100,0.9968830845,0.6498252304,0.9399024333,0.0031169155,test_main_adv2
0.6890390086,31983,2044,1103,100,0.9968830845,0.6495074674,0.9399300555,0.0031169155,test_main_adv2
